index;2sents_before_after;1sent_before_after;ctx_before2;ctx_before2_speaker;ctx_before1;ctx_before1_speaker;question;question_speaker;ctx_after1;ctx_after1_speaker;ctx_after2;ctx_after2_speaker;label
1;So much for GMAs exclusive. Talk to me a little bit about the choreography, those late-night rehearsals. How did you keep it a secret, that sort of thing? We really only did one rehearsal. How long did it take to get it all down?;Talk to me a little bit about the choreography, those late-night rehearsals. How did you keep it a secret, that sort of thing? We really only did one rehearsal.;So much for GMAs exclusive.;HOWARD KURTZ;Talk to me a little bit about the choreography, those late-night rehearsals.;UNIDENTIFIED MALE;How did you keep it a secret, that sort of thing?;UNIDENTIFIED MALE;We really only did one rehearsal.;UNIDENTIFIED MALE;How long did it take to get it all down?;UNIDENTIFIED MALE;Deliberative
2;Everyone was reporting about how people were concerned here that a main road that ran in front of the rental property where the president was had to be closed at least a portion of it. And that was the big controversy we were all reporting on. And I talked to the local newspaper editor here and he said, -Really? Thats what you guys are reporting on, thats all you have?-        But eventually news breaks out as we saw last week when the president came out, broke away from his vacation for a bit to talk about Egypt. All right.;And that was the big controversy we were all reporting on. And I talked to the local newspaper editor here and he said, -Really? Thats what you guys are reporting on, thats all you have?-        But eventually news breaks out as we saw last week when the president came out, broke away from his vacation for a bit to talk about Egypt.;Everyone was reporting about how people were concerned here that a main road that ran in front of the rental property where the president was had to be closed at least a portion of it.;DAN LOTHIAN;And that was the big controversy we were all reporting on.;DAN LOTHIAN;And I talked to the local newspaper editor here and he said, -Really?;DAN LOTHIAN;Thats what you guys are reporting on, thats all you have?-        But eventually news breaks out as we saw last week when the president came out, broke away from his vacation for a bit to talk about Egypt.;DAN LOTHIAN;All right.;JOANNE LIPMAN;OTHERS
3;But the coverage, I think, is really headed south. By the way, we havent even gotten to the second term yet. You know what I mean? I do think the coverage is a little exaggerated in terms of how much trouble Obama is in, but I think, Howie, whats happening is people see that he is no longer -- doesnt really walk on water. Hes got polls that look like -- theyre better than Bushs polls, but still, they aint great.;By the way, we havent even gotten to the second term yet. You know what I mean? I do think the coverage is a little exaggerated in terms of how much trouble Obama is in, but I think, Howie, whats happening is people see that he is no longer -- doesnt really walk on water.;But the coverage, I think, is really headed south.;HOWARD KURTZ;By the way, we havent even gotten to the second term yet.;PRESS;You know what I mean?;PRESS;I do think the coverage is a little exaggerated in terms of how much trouble Obama is in, but I think, Howie, whats happening is people see that he is no longer -- doesnt really walk on water.;PRESS;Hes got polls that look like -- theyre better than Bushs polls, but still, they aint great.;PRESS;Rhetorical
4;Thats how we call attention to things that, if were not doing the fact checking, but we know not to be true, we can make the call. John Sides, youve done a lot of work on political polarization in Washington now. And your work has shown that were as polarized, or more so, than weve been in a very long time, perhaps since the Civil War, right? There are issues of polarization even in fact checking. Who do you fact check?;John Sides, youve done a lot of work on political polarization in Washington now. And your work has shown that were as polarized, or more so, than weve been in a very long time, perhaps since the Civil War, right? There are issues of polarization even in fact checking.;Thats how we call attention to things that, if were not doing the fact checking, but we know not to be true, we can make the call.;GINGER GIBSON;John Sides, youve done a lot of work on political polarization in Washington now.;FRANK SESNO;And your work has shown that were as polarized, or more so, than weve been in a very long time, perhaps since the Civil War, right?;FRANK SESNO;There are issues of polarization even in fact checking.;FRANK SESNO;Who do you fact check?;FRANK SESNO;Rhetorical
5;All right. Coming up in the second half of RELIABLE SOURCES, Michelle Mania. Do journalists focus too much on the first ladys style and fashion at the expense of her White House work? Plus, Facebook fears. Is the social networking site allowing too much information about us to go public?;Coming up in the second half of RELIABLE SOURCES, Michelle Mania. Do journalists focus too much on the first ladys style and fashion at the expense of her White House work? Plus, Facebook fears.;All right.;KURTZ, HOST (voice-over);Coming up in the second half of RELIABLE SOURCES, Michelle Mania.;KURTZ, HOST (voice-over);Do journalists focus too much on the first ladys style and fashion at the expense of her White House work?;KURTZ, HOST (voice-over);Plus, Facebook fears.;KURTZ, HOST (voice-over);Is the social networking site allowing too much information about us to go public?;KURTZ, HOST (voice-over);Deliberative
6;We all talk about the message youre sending with the kind of clothes youre wearing. What is the message these women are sending? Have you ever seen women dressed -- showing so much of their bodies before? I havent. And so you sort of wonder whats going on.;What is the message these women are sending? Have you ever seen women dressed -- showing so much of their bodies before? I havent.;We all talk about the message youre sending with the kind of clothes youre wearing.;MARGERY EAGAN;What is the message these women are sending?;MARGERY EAGAN;Have you ever seen women dressed -- showing so much of their bodies before?;MARGERY EAGAN;I havent.;MARGERY EAGAN;And so you sort of wonder whats going on.;MARGERY EAGAN;Rhetorical
7;And why is the press clamoring for Fred Thompson to jump in? Peace mom signs off. Did the press sour on Cindy Sheehan once she started castigating the left? Hot air? As Rosie ODonnell makes a noisy exit, is her high- decibel style all the rage for cable hosts and commentators trying to plump up their ratings?;Peace mom signs off. Did the press sour on Cindy Sheehan once she started castigating the left? Hot air?;And why is the press clamoring for Fred Thompson to jump in?;KURTZ, HOST (voice over);Peace mom signs off.;KURTZ, HOST (voice over);Did the press sour on Cindy Sheehan once she started castigating the left?;KURTZ, HOST (voice over);Hot air?;KURTZ, HOST (voice over);As Rosie ODonnell makes a noisy exit, is her high- decibel style all the rage for cable hosts and commentators trying to plump up their ratings?;KURTZ, HOST (voice over);ISQ
8;Back in July, when Terry Jones had tweeted he was going do this and it got a little of attention, most Americans were aware of this -- we saw the clip at the top of the show, Rick Sanchez putting him on CNN. Should he have done that? Why does Terry Jones warrant any air time at all? Well, it is exciting, and that is a kind of tabloidy show. And you hope -- theres a part I think of every journalists mind that sort of hopes for a big global reaction.;Should he have done that? Why does Terry Jones warrant any air time at all? Well, it is exciting, and that is a kind of tabloidy show.;Back in July, when Terry Jones had tweeted he was going do this and it got a little of attention, most Americans were aware of this -- we saw the clip at the top of the show, Rick Sanchez putting him on CNN.;HOWARD KURTZ;Should he have done that?;HOWARD KURTZ;Why does Terry Jones warrant any air time at all?;HOWARD KURTZ;Well, it is exciting, and that is a kind of tabloidy show.;DAVID FRUM;And you hope -- theres a part I think of every journalists mind that sort of hopes for a big global reaction.;DAVID FRUM;Deliberative
9;Well, its obviously repulsive and foolish and untrue thing to say. And we have incentives, unfortunately, in our cable industry for people to say that, say things like that. But I actually have to say, Im more upset watching Dick Cheney, because I say, as a supporter of this administration, where was the defense of this administration when it could have done some good? That during the time that the administration was in power, during the time when it had to mobilize or face the collapse of public opinion, the administration would never lower itself to give convincing explanations of its actions to people. Now, after the fact, when its too late, now the vice president is available.;And we have incentives, unfortunately, in our cable industry for people to say that, say things like that. But I actually have to say, Im more upset watching Dick Cheney, because I say, as a supporter of this administration, where was the defense of this administration when it could have done some good? That during the time that the administration was in power, during the time when it had to mobilize or face the collapse of public opinion, the administration would never lower itself to give convincing explanations of its actions to people.;Well, its obviously repulsive and foolish and untrue thing to say.;FRUM;And we have incentives, unfortunately, in our cable industry for people to say that, say things like that.;FRUM;But I actually have to say, Im more upset watching Dick Cheney, because I say, as a supporter of this administration, where was the defense of this administration when it could have done some good?;FRUM;That during the time that the administration was in power, during the time when it had to mobilize or face the collapse of public opinion, the administration would never lower itself to give convincing explanations of its actions to people.;FRUM;Now, after the fact, when its too late, now the vice president is available.;FRUM;Rhetorical
10;I think it is demeaning. I mean, its sort of 17, 18 years that Ive been doing this. And now people question whether or not you have the brains to do it? I mean, would they question that if I was a man? I dont think so.;I mean, its sort of 17, 18 years that Ive been doing this. And now people question whether or not you have the brains to do it? I mean, would they question that if I was a man?;I think it is demeaning.;LARA LOGAN;I mean, its sort of 17, 18 years that Ive been doing this.;LARA LOGAN;And now people question whether or not you have the brains to do it?;LARA LOGAN;I mean, would they question that if I was a man?;LARA LOGAN;I dont think so.;LARA LOGAN;Rhetorical
11;And there are dozens of other political groups that try to influence the media in all sorts of ways. But how successful are they? How much do groups like Media Matters influence the news you watch and read? Thats what I want to talk about this morning, starting with what Sharyl Attkisson said last week, because Media Matters, they name names whenever they think they see something outrageous. And then they try to poke holes in stories, including in some of Attkissons.;But how successful are they? How much do groups like Media Matters influence the news you watch and read? Thats what I want to talk about this morning, starting with what Sharyl Attkisson said last week, because Media Matters, they name names whenever they think they see something outrageous.;And there are dozens of other political groups that try to influence the media in all sorts of ways.;BRIAN STELTER;But how successful are they?;BRIAN STELTER;How much do groups like Media Matters influence the news you watch and read?;BRIAN STELTER;Thats what I want to talk about this morning, starting with what Sharyl Attkisson said last week, because Media Matters, they name names whenever they think they see something outrageous.;BRIAN STELTER;And then they try to poke holes in stories, including in some of Attkissons.;BRIAN STELTER;Deliberative
